SERIAL,NAME,DESCRIPTION,IMAGE,TYPE,AGE,PLAYER_COUNT,COST,BUILDS_INTO,BUILDS_FROM,B_RES,B_POINTS,B_ARMY,B_ABILITIES,B_SCIENCE,B_BONUSES
,Lumber Yard,,,BROWN,1,3,,,,1 wood,,,,,
,Lumber Yard,,,BROWN,1,4,,,,1 wood,,,,,
,Stone Pit,,,BROWN,1,3,,,,1 stone,,,,,
,Stone Pit,,,BROWN,1,5,,,,1 stone,,,,,
,Clay Pool,,,BROWN,1,3,,,,1 brick,,,,,
,Clay Pool,,,BROWN,1,5,,,,1 brick,,,,,
,Ore Vein,,,BROWN,1,3,,,,1 ore,,,,,
,Ore Vein,,,BROWN,1,4,,,,1 ore,,,,,
,Tree Farm,,,BROWN,1,6,1 Coin,,,"1 wood, 1 brick",,,,,
,Excavation,,,BROWN,1,4,1 Coin,,,"1 stone, 1 brick",,,,,
,Clay Pit,,,BROWN,1,3,1 Coin,,,"1 brick, 1 ore",,,,,
,Timber Yard,,,BROWN,1,3,1 Coin,,,"1 stone, 1 wood",,,,,
,Forest Cave,,,BROWN,1,5,1 Coin,,,"1 wood, 1 ore",,,,,
,Mine,,,BROWN,1,6,1 Coin,,,"1 ore, 1 stone",,,,,
